GivenName,LastName,Position,TigerPlayBegin1,TigerPlayStop1,TigerPlayBegin2,TigerPlayStop2,TigerPlayBegin3,BirthDate,BirthPlace,DeathDate,DeathPlace,URL,Image,Caption,Source,Column 17
Glenn,Abbott, P,1983-01-01T00:00:00Z,1984-01-01T00:00:00Z,,,,1951-02-16T00:00:00Z,"Little Rock, Arkansas",,,http://en.wikipedia.org/wiki/Glenn_Abbott,,,,
"Al ""Lefty""",Aber, P,1953-01-01T00:00:00Z,1957-01-01T00:00:00Z,,,,1927-07-31T00:00:00Z,"Cleveland, Ohio",1993-05-20T00:00:00Z,"Garfield Heights, Ohio",http://en.wikipedia.org/wiki/Al_Aber,http://upload.wikimedia.org/wikipedia/commons/e/ea/Al_Aber.jpg,"Al Aber, 1955",Bowman Gum,
Juan,Acevedo, P,2002-01-01T00:00:00Z,,,,,1970-05-05T00:00:00Z,"Ciudad Juárez, Mexico",,,http://en.wikipedia.org/wiki/Juan_Acevedo,,,,
Bob,Adams, IF,1977-01-01T00:00:00Z,,,,,1952-01-06T00:00:00Z,"Pittsburgh, Pennsylvania",,,http://en.wikipedia.org/wiki/Bob_Adams_(first_baseman),,,,
Hank,Aguirre, P,1958-01-01T00:00:00Z,1967-01-01T00:00:00Z,,,,1931-01-31T00:00:00Z,"Azusa, California",1994-09-05T00:00:00Z,"Bloomfield Hills, Michigan",http://en.wikipedia.org/wiki/Hank_Aguirre,http://upload.wikimedia.org/wikipedia/commons/c/c8/Hank_Aguirre_1956.png,"Hank Aguirre, 1956","Baseball Digest, page 2, March 1956 issue.",
Pat,Ahearne, P,1995-01-01T00:00:00Z,,,,,1969-12-10T00:00:00Z,"San Francisco, California",,,http://en.wikipedia.org/wiki/Pat_Ahearne,,,,
"Eddie ""Dorf""",Ainsmith, C,1919-01-01T00:00:00Z,1921-01-01T00:00:00Z,,,,1890-02-04T00:00:00Z,Russia,1981-09-06T00:00:00Z,"Ft Lauderdale, Florida",http://en.wikipedia.org/wiki/Eddie_Ainsmith,http://upload.wikimedia.org/wikipedia/commons/4/48/Eddie_Ainsmith_baseball_card.jpg,"Edward Ainsmith, 1912",American Tobacco Company,
"Bill ""Bump""",Akers, IF,1929-01-01T00:00:00Z,1931-01-01T00:00:00Z,,,,1904-12-25T00:00:00Z,"Chattanooga, Tennessee",1962-04-13T00:00:00Z,"Chattanooga, Tennessee",http://en.wikipedia.org/wiki/Bill_Akers,,,,
Al,Alburquerque, P,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,,,,1986-06-10T00:00:00Z,"San Pedro de Macorís, Dominican Republic",,,http://en.wikipedia.org/wiki/Al_Alburquerque,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Al_Alburquerque_on_August_12%2C_2011.jpg/366px-Al_Alburquerque_on_August_12%2C_2011.jpg,"Al Alburquerque, 2011",Keith Allison,
Scott,Aldred,P,1990-01-01T00:00:00Z,1992-01-01T00:00:00Z,1996-01-01T00:00:00Z,,,1968-06-12T00:00:00Z,"Flint, Michigan",,,http://en.wikipedia.org/wiki/Scott_Aldred,,,,
