year,league,w,l,finish,playoffs,stadium,attendance,attend_g,rank
2013,AL Central,38,29,1,,Comerica Park,1155326,36104,4th of 15
2012,AL Central,88,74,1,1,Comerica Park,3028033,37383,5th of 14
2011,AL Central,95,67,1,2,Comerica Park,2642045,32618,6th of 14
2010,AL Central,81,81,3,,Comerica Park,2461237,30386,6th of 14
2009,AL Central,86,77,2,,Comerica Park,2567165,31693,4th of 14
2008,AL Central,74,88,5,,Comerica Park,3202645,39539,3rd of 14
2007,AL Central,88,74,2,,Comerica Park,3047133,37619,3rd of 14
2006,AL Central,95,67,2,1,Comerica Park,2595937,32049,5th of 14
2005,AL Central,71,91,4,,Comerica Park,2024431,24993,10th of 14
2004,AL Central,72,90,4,,Comerica Park,1917004,23667,9th of 14
2003,AL Central,43,119,5,,Comerica Park,1368245,16892,13th of 14
2002,AL Central,55,106,5,,Comerica Park,1503623,18795,12th of 14
2001,AL Central,66,96,4,,Comerica Park,1921305,23720,9th of 14
2000,AL Central,79,83,3,,Comerica Park,2438617,30106,7th of 14
1999,AL Central,69,92,3,,Tiger Stadium,2026441,25018,9th of 14
1998,AL Central,65,97,5,,Tiger Stadium,1409391,17400,11th of 14
1997,AL East,79,83,3,,Tiger Stadium,1365157,16854,13th of 14
1996,AL East,53,109,5,,Tiger Stadium,1168610,14427,13th of 14
1995,AL East,60,84,4,,Tiger Stadium,1180979,16402,11th of 14
1994,AL East,53,62,5,,Tiger Stadium,1184783,20427,13th of 14
1993,AL East,85,77,3,,Tiger Stadium,1971421,24339,12th of 14
1992,AL East,75,87,6,,Tiger Stadium,1423963,17800,13th of 14
1991,AL East,84,78,2,,Tiger Stadium,1641661,20267,12th of 14
1990,AL East,79,83,3,,Tiger Stadium,1495785,18466,13th of 14
1989,AL East,59,103,7,,Tiger Stadium,1543656,19057,11th of 14
1988,AL East,88,74,2,,Tiger Stadium,2081162,25693,8th of 14
1987,AL East,98,64,1,2,Tiger Stadium,2061830,25455,7th of 14
1986,AL East,87,75,3,,Tiger Stadium,1899437,23450,7th of 14
1985,AL East,84,77,3,,Tiger Stadium,2286609,28230,3rd of 14
1984,AL East,104,58,1,1,Tiger Stadium,2704794,32985,1st of 14
