Theme,Subjects,Subjects,Subjects,Subjects,,Compiled Occurrence,
1950-1960,,,,,,,
Urban Planning,Beautification,Public Safety,Transportation,Housing,,1,
Infrastructure,Business,Investment,Legal Assistance,City Services,,2,
Education & Community Outreach,Education,Arts,Civic Engagement,,,,
Community Health,Health,Rehabilitation,Homelessness,,,,
Sustainability,Environmental Social Justice,Urban Farming,Sustainability,,,,
Livelihood,Youth,Families,Seniors,Job & Life Skills,Food,,
1961-1970,,,,,,,
Urban Planning,Beautification,Public Safety,Transportation,Housing,,2,
Infrastructure,Business,Investment,Legal Assistance,City Services,,1,
Education & Community Outreach,Education,Arts,Civic Engagement,,,2,
Community Health,Health,Rehabilitation,Homelessness,,,3,
Sustainability,Environmental Social Justice,Urban Farming,Sustainability,,,3,
Livelihood,Youth,Families,Seniors,Job & Life Skills,Food,2,
1971-1980,,,,,,,
Urban Planning,Beautification,Public Safety,Transportation,Housing,,10,
Infrastructure,Business,Investment,Legal Assistance,City Services,,2,
Education & Community Outreach,Education,Arts,Civic Engagement,,,1,
Community Health,Health,Rehabilitation,Homelessness,,,3,
Sustainability,Environmental Social Justice,Urban Farming,Sustainability,,,3,
Livelihood,Youth,Families,Seniors,Job & Life Skills,Food,1,
1981-1990,,,,,,,
Urban Planning,Beautification,Public Safety,Transportation,Housing,,7,
Infrastructure,Business,Investment,Legal Assistance,City Services,,1,
Education & Community Outreach,Education,Arts,Civic Engagement,,,2,
Community Health,Health,Rehabilitation,Homelessness,,,3,
Sustainability,Environmental Social Justice,Urban Farming,Sustainability,,,9,
Livelihood,Youth,Families,Seniors,Job & Life Skills,Food,6,
1991-2000,,,,,,,
Urban Planning,Beautification,Public Safety,Transportation,Housing,,15,
Infrastructure,Business,Investment,Legal Assistance,City Services,,12,
Education & Community Outreach,Education,Arts,Civic Engagement,,,5,
Community Health,Health,Rehabilitation,Homelessness,,,3,
Sustainability,Environmental Social Justice,Urban Farming,Sustainability,,,6,
Livelihood,Youth,Families,Seniors,Job & Life Skills,Food,11,
2001-2013,,,,,,,
Urban Planning,Beautification,Public Safety,Transportation,Housing,,15,
Infrastructure,Business,Investment,Legal Assistance,City Services,,18,
Education & Community Outreach,Education,Arts,Civic Engagement,,,10,
Community Health,Health,Rehabilitation,Homelessness,,,1,
Sustainability,Environmental Social Justice,Urban Farming,Sustainability,,,17,
Livelihood,Youth,Families,Seniors,Job & Life Skills,Food,9,
