name,date_founded,date_end,focus_address_1,focus_address_2,focus_address_3,focus_address_4,focus_address_5,focus_address_6,focus_address_7,office_address,funder,type_funding,type_subject_1,type_subject_2,type_subject_3,type_subject_4,url,notes,directory,cartodb_id,created_at,updated_at,cartodb_georef_status,longitude_0,latitude_0,geojson
Architectural Salvage Warehouse of Detroit,2003,,,,,,,,,"4885 15th Street Detroit, MI 48208",,,Beautification,Education,Sustainability,,www.aswdetroit.org,"Dedicated to salvaging ĺĘreusable building materials to reduce landfilluse, provide jobs in deconstruction and offer affordable building materials to the community.",Sustainable Detroit,7,2013-06-26 17:27:21.543643,2013-06-26 17:28:59.365496,true,-83.08811,42.34888,"{""type"":""Point"",""coordinates"":[-83.08811,42.34888]}"
O'Hair Park Community Organization,,,,,,,,,,,,,Beautification,,,,,,CEDAM,86,2013-06-26 17:27:21.543643,2013-06-26 17:28:52.65789,true,-83.04792,42.33168,"{""type"":""Point"",""coordinates"":[-83.04792,42.33168]}"
"AAB Development Strategies, LLCĺĘĺĘ",,,,,,,,,,"13342 Sherwood Drive, Huntington Woods, MI 48070ĺĘĺĘ",,Community Development Corporations,Housing,Business,,,http://www.aabds.com/index.htm,,CDAD,1,2013-06-26 17:27:21.543643,2013-06-26 17:28:53.333817,true,-83.181199,42.479616,"{""type"":""Point"",""coordinates"":[-83.1812,42.47962]}"
AIA Michigan- Detroit,,,,,,,,,,"553 East Jefferson Ave. Detroit, Michigan 48226",,,Beautification,Education,Sustainability,,http://www.aiadetroit.com/,,Sustainable Detroit,4,2013-06-26 17:27:21.543643,2013-06-26 17:28:57.008185,true,-83.03912,42.33149,"{""type"":""Point"",""coordinates"":[-83.03912,42.33149]}"
Alternatives for Girls,1985,,,,,,,,,"903 W. Grand Blvd.
Detroit, Michigan  48208",,,Youth,Homelessness,Rehabilitation,,http://www.alternativesforgirls.org/,,CDAD,6,2013-06-26 17:27:21.543643,2013-06-26 17:28:58.775353,true,-83.096068,42.332732,"{""type"":""Point"",""coordinates"":[-83.09607,42.33273]}"
Alkebu-Lan Village Community Development Corporation,2001,,,,,,,,,"7701 Harper, Detroit, MI 48213ĺĘĺĘ ĺĘ",,Community Development Corporations,,,,,,,CEDAM,5,2013-06-26 17:27:21.543643,2013-06-26 17:28:57.904314,true,-83.33295,42.23588,"{""type"":""Point"",""coordinates"":[-83.33295,42.23588]}"
Business Development,,,,,,,,,,,City of Detroit,,Investment,Beautification,,,http://www.ci.detroit.mi.us/DepartmentsandAgencies/PlanningDevelopmentDepartment/BusinessDevelopment.aspx,"Development Tax Incentive Programs
Detroit's business environment is complemented by various tax incentives that invite companies to do business in a fertile economy. Businesses planning expansion or relocation will benefit greatly from Detroit's tax incentive programs. all investors, developers and business owners are encouraged to take advantage of the wide array of incentives and services offered by the City of Detroit. Here, you'll find a wealth of information about the benefits of locating a business or property in the City of Detroit.  

Empowerment Zone Tax Incentives
Industrial Facilities Tax Incentives
Neighborhood Enterprise Zone (NEZ) Tax Incentives
New Personal Property Tax Incentives
Obsolete Property Rehabilitation (OPRA) Tax Incentives
Renewal Community Tax Incentives
Detroit Renaissance Zone Tax Incentives
",City of Detroit Planning and Development Department,12,2013-06-26 17:27:21.543643,2013-06-26 17:29:04.949894,true,-83.04792,42.33168,"{""type"":""Point"",""coordinates"":[-83.04792,42.33168]}"
Bioneers Great Lakes- Detroit,1990,,Detroit,Southeast Michigan,,,,,,,,,Environmental Social Justice,Food,Urban Farming,Sustainability,www.bioneers.org,Positive solutions to relevant issues-inspiring innovativevoices of our time.ĺĘ Two Michigan Locations Detroit and Traverse City.,Sustainable Detroit,9,2013-06-26 17:27:21.543643,2013-06-26 17:29:00.087512,true,-83.04792,42.33168,"{""type"":""Point"",""coordinates"":[-83.04792,42.33168]}"
Detroit Youth Violence Prevention Initiative- Detroit Police Reservist,,,,,,,,,,"13331 Lyndon Road Detroit, MI",,,Public Safety,City Services,,,,,Detroitone,36,2013-06-26 17:27:21.543643,2013-06-26 17:29:03.339646,true,-83.175873,42.394874,"{""type"":""Point"",""coordinates"":[-83.17587,42.39487]}"
Boggs Center,,,,,,,,,,3061 Field Street Detroit MI 48214,,,Environmental Social Justice,Sustainability,Arts,Education,www.boggscenter.org,"Developing ideas, programs, youth leadership, to rebuild, redefine and respirit Detroit in harmony with one another and the earth. Detroit Summer, Freedom Schooling, Revitalizing Chinatown, Murals, Back Alley Bikes, Poetry Workshops and more.",Sustainable Detroit,10,2013-06-26 17:27:21.543643,2013-06-26 17:29:00.671925,true,-83.01065,42.36265,"{""type"":""Point"",""coordinates"":[-83.01065,42.36265]}"
